id| productID| name| brand | company|Link|PETA (Cruelty Free)|Fair Trade (Worker Rights)|HRC (Gender Equality)| avgscore
38|3|Pasta Roni Shells & White Cheddar|Pasta Roni|PepsiCo (via Quaker Oats)|https://smile.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A07903452U9OX508121JI&url=%2FPasta-Shells-White-Cheddar-Ounce%2Fdp%2FB000PUJ01K%2Fref%3Dsr_1_21_0o_fs_sspa%3FalmBrandId%3DQW1hem9uIEZyZXNo%26dchild%3D1%26fpw%3Dalm%26keywords%3Dpasta%26qid%3D1588556453%26sr%3D8-21-spons%26psc%3D1&qualifier=1588556453&id=1531932494011100&widgetName=sp_mtf|0|100|80|0
39|3|Banza Chickpea Pasta Variety Pack (2 Penne/2 Rotini/2 Shells) |Banza|Brian and Scott Rudolph|https://smile.amazon.com/Banza-Chickpea-Pasta-Protein-Healthy/dp/B01IBIOMJ2/ref=sr_1_24_sspa?dchild=1&keywords=pasta&qid=1588556453&sr=8-24-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUFaQkhVQlZGMlNNMjAmZW5jcnlwdGVkSWQ9QTAxNTE1MTQzVVZOWTgwOFpPSlFIJmVuY3J5cHRlZEFkSWQ9QTAyMjg4OTdLMDBDOUJPRUkyREomd2lkZ2V0TmFtZT1zcF9tdGYmYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl|100|0|90|0
40|3|Cinque Terre Pasta Organic Durum Wheat Bronze Die Cut Italian Pasta| Cinque Terre|Firmas Rep LLC|https://smile.amazon.com/Cinque-Terre-Pasta-Organic-Rigatoni/dp/B07F8D45SW/ref=sr_1_33?dchild=1&keywords=pasta&qid=1588556453&sr=8-33|0|0|100|0
41|4|PANS Backpack Large Military Expandable Travel Backpack Tactical Waterproof Hiking Backpack for Men|PANS|PANS|https://smile.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A04914153P8SZX8WNAUOT&url=%2FPANS-Military-Expandable-Backpack-Waterproof%2Fdp%2FB07GDCS123%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dbackpack%26qid%3D1588557618%26sr%3D8-1-spons%26psc%3D1&qualifier=1588557618&id=125369222711700&widgetName=sp_atf|0|0|10|0
42|4|Travel Laptop Backpack Business Anti Theft Slim Durable Laptops Backpack with USB Charging Portbook|MATEIN|Li XiLan|https://smile.amazon.com/port%C3%A1til-negocios-antirrobo-resistente-port%C3%A1tiles/dp/B06XZTZ7GB/ref=sr_1_2_sspa?dchild=1&keywords=backpack&qid=1588557618&sr=8-2-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyTjUxR0hKT1hKWUZOJmVuY3J5cHRlZElkPUEwOTYwNTE4RjNKMzJWREgxODE4JmVuY3J5cHRlZEFkSWQ9QTA2MTg5MzlCWUtBWVhRQTZPOTUmd2lkZ2V0TmFtZT1zcF9hdGYmYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl|0|0|20|0
43|4|Herschel Nova Backpack Arctic Mini 9L|Herschel|Herschel Capital Corp.|https://smile.amazon.com/Herschel-10501-03254-OS-Nova-Mini-Arctic/dp/B07N9KW6TX/ref=sr_1_4?dchild=1&keywords=backpack&qid=1588557703&sr=8-4|0|0|30|0
44|4|Kenneth Cole Reaction Chelsea Women's Chevron Quilted 15-Inch Laptop & Tablet Fashion Travel Backpack|Kenneth Cole|the Hagger Canada Company|https://smile.amazon.com/Kenneth-Cole-Reaction-Polyester-Backpack/dp/B07GX3PWNK/ref=sr_1_5?dchild=1&keywords=backpack&qid=1588557703&sr=8-5|0|0|40|0
45|4|ZOMAKE 30L Lightweight Packable Backpack Water Resistant Hiking Daypack-Small Travel Backpack Foldable Camping Outdoor Bag|ZOMAKE|Guangzhou Sidianjin Trading Co.|https://smile.amazon.com/dp/B07CBT2RN4/ref=sr_1_6?dchild=1&keywords=backpack&qid=1588557703&sr=8-6|0|0|50|0
46|4|Backpacks for Men- Extra Large Travel Laptop Backpack Gifts for Women Men with USB Charging Port|YOREPEK|XiaoHong Song|https://smile.amazon.com/Backpack-Charging-Friendly-Resistant-Business/dp/B071ZYHCM6/ref=sr_1_7?dchild=1&keywords=backpack&qid=1588557703&sr=8-7|0|0|60|0
47|4|Modoker Vintage Laptop Backpack for Women Men School College Backpack|Modoker|Xiamen Meidale Technology Co.|https://smile.amazon.com/Modoker-Vintage-Backpack-Charging-Notebook/dp/B073CNXM95/ref=sr_1_8?dchild=1&keywords=backpack&qid=1588557703&sr=8-8|0|0|70|0
48|4|Travel Laptop Backpack Water Resistant Anti-Theft Bag with USB Charging Port and Lock 14/15.6 Inch Computer|Tzowla|Wu Longfei|https://smile.amazon.com/Tzowla-Business-Resistant-Anti-Theft-Backpacks/dp/B075SZQN9Q/ref=sxin_9_sk-bs-1-na_aefe1cd85859b85cda7ee66d00ba2ced11eb47ad?cv_ct_cx=backpack&dchild=1&keywords=backpack&pd_rd_i=B075SZQN9Q&pd_rd_r=d2714b5c-9874-420f-9c21-54e709e465a4&pd_rd_w=6PPvT&pd_rd_wg=T0Ahn&pf_rd_p=91c15027-f93d-4ad3-b2a0-a2b84f7b20a1&pf_rd_r=AXZMMCB696B75ECWFYWX&qid=1588557703&sr=1-2-19adb3fb-fdf7-40db-b78f-c677b04bb4de|0|0|80|0
49|4|SWISSGEAR 1900 ScanSmart TSA Laptop Backpack- Black|SWISSGEAR|Victorinox|https://smile.amazon.com/s?k=backpack&ref=nb_sb_noss_1|0|0|90|0
